Date,Followers,
2021/11/16,0,
2022/9/30,1642,
2022/10/5,1800,
2022/10/6,1901,
2022/10/12,2000,
2022/10/31,2100,
2022/11/1,2134,
2022/11/3,2150,
2022/12/30,2501,
2023/4/9,3000,
2023/5/18,3300,
2023/5/26,3333,
2023/6/6,3400,
2023/7/3,3500,
2023/7/4,3546,
2023/8/19,3704,
2023/8/20,3746,
2023/8/26,3788,
2023/9/22,3920,
2023/10/20,3980,
2023/11/8,4060,
2023/11/26,4060,
2023/11/28,4115,
2023/12/1,4124,
2023/12/2,4131,
2023/12/8,4150,
2023/12/20,4160,
2023/12/21,4200,
2023/12/31,4220,
2024/1/3,4280,
2024/1/6,4294,
2024/1/7,4322,
2024/1/8,4345,
2024/1/15,4368,
2024/1/17,4402,
2024/1/18,4422,
2024/1/26,4440,
2024/1/27,4474,
2024/2/4,4500,
2024/2/9,4581,
2024/2/10,4599,
2024/2/29,4668,
2024/3/1,4806,
2024/3/2,4814,
2024/3/5,4857,
2024/3/24,4848,
2024/4/7,4924,
2024/4/20,5000,
2024/4/21,5100,
2024/4/22,5113,
2024/6/5,5220,
2024/6/6,5250,
2024/6/10,5270,
2024/6/15,5324,
2024/6/16,5358,
2024/6/17,5365,
2024/6/25,5417,
2024/6/30,5455,
